STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,TIME_PERIOD,OBS_VALUE,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,UNIT_MEASURE_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SH_STA_SUIC_FE_P5,F,2013,2.446366495079391,Western & Central Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SH_STA_SUIC_FE_P5,F,2013,1.754143449649042,Arab World,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SH_STA_SUIC_FE_P5,F,2013,5.562222212903747,Central Europe and the Baltics,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SH_STA_SUIC_FE_P5,F,2013,6.666878241905964,East Asia & Pacific,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_SH_STA_SUIC_FE_P5,F,2013,6.551111075767563,Euro area,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECS,WB_WDI_SH_STA_SUIC_FE_P5,F,2013,6.629430726136177,Europe & Central Asia,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UZB,WB_WDI_SH_STA_SUIC_FE_P5,F,2002,7.1,Uzbekistan,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_SH_STA_SUIC_FE_P5,F,2002,7.62,Vanuatu,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_SH_STA_SUIC_FE_P5,F,2002,2.14,"Venezuela, RB","Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_SH_STA_SUIC_FE_P5,F,2002,4.34,Vietnam,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
